ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2021/12/10 16:43:28"
"Settings=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-10\Raw Data\Slide12_Bmarray_Subclasses_F635.gps"
"GalFile=D:\Biblioth鋂ues\Documents\Back-up NEB PhD\C drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=635"
"ImageFiles=F:\Documents\Work\Brugia glycan array - follow-up study\2021-12-05 to 14 - Repeat incubations\2021-12-10\Raw Data\Slide12_US23502317_1003449802_S01_H_Flipped.tif 0"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2630, 1420"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F635 Median"	"F635 Mean"	"F635 SD"	"F635 CV"	"B635"	"B635 Median"	"B635 Mean"	"B635 SD"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Total Intensity"	"SNR 635"	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"Log Ratio (635/532)"	"F635 Median - B635"	"F635 Mean - B635"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
-50	0	0	1	6	6	"Lg fr. 30 0.2然"	"116"	4110	2930	100	30	30	5	16	29	29	30	6	20	15	3	0	2411	0.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	80	530	100	51
-50	0	0	1	7	6	"Lg fr. 35 0.1然"	"132"	4360	2930	100	30	30	6	20	30	30	30	5	16	20	3	0	2376	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	80	530	100	52
-50	0	0	1	8	6	"Lg fr. 35 0.1然"	"132"	4610	2920	100	31	31	6	19	30	30	30	5	16	21	8	0	2497	0.200	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	80	521	100	53
-50	0	0	1	9	6	"Lg fr. 35 0.1然"	"132"	4860	2920	100	29	29	5	17	30	30	31	6	19	10	1	0	2358	-0.333	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	-1	-1	-1	80	521	100	54
-50	0	0	1	1	7	"Ng fr.41 1.56然"	"115"	2870	3200	100	29	30	6	20	29	29	30	5	16	23	5	0	2361	0.000	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	80	560	100	55
-50	0	0	1	2	7	"Ng fr.41 1.56然"	"115"	3110	3200	100	29	29	5	17	29	29	30	5	16	13	6	0	2335	-0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	80	560	100	56
-50	0	0	1	3	7	"Ng fr.41 1.56然"	"115"	3360	3190	100	29	29	6	20	30	30	30	6	20	13	3	0	2356	-0.167	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	-1	-1	-1	80	560	100	57
-50	0	0	1	4	7	"Lg fr. 17 0.1然"	"131"	3610	3190	100	29	30	5	16	29	29	30	5	16	13	3	0	2366	0.000	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	80	560	100	58
-50	0	0	1	5	7	"Lg fr. 17 0.1然"	"131"	3860	3180	100	30	31	6	19	29	29	29	5	17	28	10	0	2470	0.400	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	80	560	100	59
-50	0	0	1	6	7	"Lg fr. 17 0.1然"	"131"	4110	3180	100	29	29	5	17	30	30	30	5	16	13	3	0	2355	-0.200	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	-1	-1	-1	80	560	100	60
-50	0	0	1	7	7	"Lg fr. 21 0.9然"	"147"	4360	3170	100	32	31	5	16	30	30	30	6	20	13	0	0	2488	0.167	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	1	2	1	80	560	100	61
-50	0	0	1	8	7	"Lg fr. 21 0.9然"	"147"	4610	3170	100	30	31	5	16	31	31	32	6	18	14	1	0	2497	-0.167	100000.000	0.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	0	-1	0	80	560	100	62
