ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2018/03/07 19:14:21"
"Settings=Z:\Laudine\Agilent Scanner Glycan Array\Sn10_after_treatment_100pct_IgG.gps"
"GalFile=C:\Users\lpetralia\Documents\R drive\Brugia malayi\Glycan array\GAL files\GAL file Brugia_Onchocerca array Jan 2018.gal"
"PixelSize=10"
"Wavelengths=532"
"ImageFiles=Z:\Laudine\Agilent Scanner Glycan Array\2018.03.07\US23502317_1003449801_Sn10_AfterTreatment_10pct_flipped.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/532)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=0, 0"
"JpegOrigin=2590, 1260"
"Creator=GenePix Pro 7.2.22"
"Scanner=G2505B"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=0"
"ScanPower=100"
"LaserPower=0"
"Filters="
"ScanRegion=0,0,2160,7100"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F532 Median"	"F532 Mean"	"F532 SD"	"F532 CV"	"B532"	"B532 Median"	"B532 Mean"	"B532 SD"	"B532 CV"	"% > B532+1SD"	"% > B532+2SD"	"F532 % Sat."	"F532 Total Intensity"	"SNR 532"	"Ratio of Medians (635/532)"	"Ratio of Means (635/532)"	"Median of Ratios (635/532)"	"Mean of Ratios (635/532)"	"Ratios SD (635/532)"	"Rgn Ratio (635/532)"	"Rgn R2 (635/532)"	"Log Ratio (635/532)"	"F532 Median - B532"	"F532 Mean - B532"	"Sum of Medians (635/532)"	"Sum of Means (635/532)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
0	0	0	1	8	7	"Lg fr. 21 0.9然"	"147"	4670	2970	40	66	73	26	35	38	38	41	10	24	92	75	0	878	3.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	28	35	28	35	12	68	100	62
0	0	0	1	9	7	"Lg fr. 21 0.9然"	"147"	4900	2960	50	81	88	18	20	47	47	49	12	24	100	92	0	1051	3.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	34	41	34	41	12	104	100	63
0	0	0	1	1	8	"Ng fr.29 0.9然"	"130"	2950	3190	80	178	174	73	41	44	44	54	27	50	90	83	0	9063	4.444	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	134	130	134	130	52	340	100	64
0	0	0	1	2	8	"Ng fr.29 0.9然"	"130"	3180	3190	70	259	249	73	29	67	67	77	37	48	100	94	0	7964	4.649	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	192	182	192	182	32	236	100	65
0	0	0	1	3	8	"Ng fr.29 0.9然"	"130"	3430	3160	80	221	205	86	41	52	52	65	36	55	85	73	0	10671	3.889	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	169	153	169	153	52	340	100	66
0	0	0	1	4	8	"Ng fr.33 2.5然"	"146"	3690	3200	70	105	99	30	30	43	43	44	17	38	91	78	0	3155	3.235	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	62	56	62	56	32	236	100	67
0	0	0	1	5	8	"Ng fr.33 2.5然"	"146"	3930	3190	60	111	109	28	25	37	37	37	6	16	100	100	0	3478	12.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	74	72	74	72	32	176	100	68
0	0	0	1	6	8	"Ng fr.33 2.5然"	"146"	4180	3200	60	103	107	29	27	40	40	41	8	19	100	100	0	3428	8.250	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	63	67	63	67	32	176	100	69
0	0	0	1	7	8	"Ng fr.37 4.3然"	"99"	4430	3190	60	77	75	24	32	43	43	44	8	18	75	69	0	2390	3.875	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	34	32	34	32	32	176	100	70
0	0	0	1	8	8	"Ng fr.37 4.3然"	"99"	4670	3180	60	92	79	27	34	45	45	45	9	20	69	66	0	2541	3.778	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	47	34	47	34	32	176	100	71
